"PLAN","SPECIES","424TTT","425TTT","426TTT","427TTT","428TTT","429TTT","430TTT","431TTT","432TTT","433TTT","434TTT","435TTT","436TTT","437TTT","438TTT","439TTT"
"everR","rossoc",0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pallO","scaalb",1,0,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,1,1 
"maplO","schhal",0,0,0,0,0,0,0,0,0,1,0,0,-2,0,0,-2 
"oahpO","schkaa",0,0,0,-1,-1,-1,-2,-1,-1,0,-2,-2,-2,-2,-2,-2 
"oahpO","schkea",0,0,0,0,0,0,-2,-2,-2,2,-2,-2,-2,-2,-2,2 
"kaupO","schspe",0,0,0,0,0,0,-1,-1,-1,0,0,-2,-2,0,0,-2 
"delmR","scinig",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"enruO","soldry",1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,2,-1 
"hougO","solhou",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",2,-2,-2,1,-2,-2,1,2,2,2,1,-1,-1,1,2,-2 
"caleO","steant",0,0,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",0,0,0,0,0,0,-1,-1,-1,0,0,-2,-2,0,0,-2 
"mexiO","strocc",-2,-2,-2,2,-2,2,-2,1,1,2,-2,2,-2,-2,-2,-2 
"loweO","sylpal",1,1,1,-2,-2,-2,-1,1,1,-1,-1,-1,-2,-1,1,1 
"lanaO","tetrem",-2,0,0,-2,-2,0,0,-2,-2,0,-2,-2,-2,-2,-2,0 
"karsO","texred",-2,-2,-2,-2,-2,-2,1,0,0,1,-2,-2,0,0,0,-2 
"coolO","thacoo",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"pedaO","theste",-2,0,-2,0,0,-2,0,0,0,0,-2,-2,-2,0,0,-2 
"soccO","thethe",-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,0,-2,0,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",0,1,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,1,-2 
"grizR","ursarc",-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2 
"edwaR","ziztex",0,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,0,-2,0,-2 
