"PLAN","SPECIES","443WWW","444WWW","445WWW","446WWW","447WWW","448WWW","449WWW","450WWW","451WWW","452WWW","453WWW","454WWW","455WWW","456WWW","457WWW","458WWW"
"pedaO","theste",-2,1,-2,1,1,1,0,1,-2,1,-2,-2,-2,0,0,-2 
"soccO","thethe",0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",1,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,0 
"attwR","tymcup",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0 
"grizR","ursarc",0,0,1,0,0,0,0,0,0,0,0,1,-2,1,0,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-2 
"edwaR","ziztex",1,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,1,-2,1,-2 
