"PLAN","SPECIES","405GGG","406GGG","407GGG","408GGG","409GGG","410GGG","411GGG","412GGG","413GGG","414GGG","415GGG","416GGG","417GGG","418GGG","419GGG","420GGG"
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,10,-2,-2,-2,10,-2,-2,10,-1,10,-2,10,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,10,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","polbas",-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2 
"fatpR","potcap",-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",10,-2,-2,10,-2,-2,-2,-2,10,10,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",-1,-1,-1,-1,-2,-1,-1,0,0,0,-1,-2,-2,0,-2,-2 
"harpO","ptinod",-2,999,-2,-2,5,-2,-1,-2,-2,-2,-2,-2,-2,-2,999,-2 
"coloR","ptyluc",-2,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",-1,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2 
"selkR","rantar",-2,-2,-2,-1,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",10,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"grpiR","sarore",-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2 
"pallO","scaalb",-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1 
"maplO","schhal",5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"oahpO","schkaa",5,5,5,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,5,-2 
"oahpO","schkea",-1,-1,5,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1 
"kaupO","schspe",5,5,5,5,5,5,-1,-1,-1,5,5,-2,-2,5,5,-2 
"delmR","scinig",-2,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8 
"enruO","soldry",-1,-2,-2,-1,-2,-2,-1,-1,4,-1,4,-1,-2,4,4,-1 
