"PLAN","SPECIES","89B","90B","91B","92B","93B","94B","95B","96B","97B","98B","99B","100B","101B","102B","103B","104B","105B","106B","107B","108B","109B","110B","111B","112B","113B","114B","115B","116B","117B","118B","119B","120B","121B","122B","123B","124B","125B","126B"
"maryR","ethsel",2,2,-2,-2,-2,-2,2,1,1,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"elseO","eupbat",2,2,2,2,-2,-2,-2,3,3,2,-2,2,2,-2,-2,-2,-2,-2,3,2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,2,-2,-2 
"edwaR","eurnan",2,2,2,2,-2,2,2,2,1,2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2 
"pereO","falper",2,3,2,1,3,3,3,1,3,-2,-2,3,2,3,-2,2,-2,2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,3,-2,-2 
"ampeO","falper",2,3,2,2,2,2,2,3,3,-2,-2,3,-2,3,2,4,-2,-2,-2,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,3,-2,2,2,-2,-2 
"hawwR","fulame",2,2,2,2,2,2,2,3,3,2,-2,4,2,4,2,-1,-1,-2,-1,2,3,-1,-1,-1,-2,-1,-1,-1,-1,-1,2,2,2,-2,2,2,2,-2 
"lanaO","gahlan",2,2,-2,-2,-2,2,2,3,3,3,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2 
"hawwR","galchl",2,-2,2,3,-2,-2,-2,1,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",2,2,-2,-2,-2,2,3,2,2,-2,-2,3,-2,3,-2,3,-2,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2,-2 
"hawgO","garbri",6,6,-2,-2,-2,-2,6,2,6,2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"unarR","gasacu",2,-2,-2,-2,-2,2,-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,2,2,-2,2,-2,-2,-2 
"maplO","gerarb",2,2,-2,-2,-2,2,1,1,1,2,-2,3,3,3,-2,-2,-2,-2,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2 
"humpR","gilcyp",3,2,-2,-2,-2,2,2,2,2,2,-2,3,3,2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,2,-2,-2,2,-2,-2,3,2,-2,2,-2,-2,-2 
"bonyR","gilele",2,2,-2,2,-2,2,2,1,1,1,-2,3,-2,2,-2,3,-2,-2,3,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,2 
"chihO","gilnig",2,2,-1,-1,-2,2,2,2,1,2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2 
"fishR","gilpur",2,2,-2,-2,-2,2,2,2,2,2,-2,-2,2,3,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2 
"whooR","gruame",-2,-2,2,2,2,2,2,2,2,2,-2,3,5,5,-2,2,5,-2,2,2,3,3,-2,-2,-2,2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2 
"missR","grucan",2,2,2,2,-2,2,2,-2,2,-2,-2,3,-2,3,-2,3,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,2,2,-2,2,-2,2,-2 
"cacoR","gymcal",-2,-2,2,1,-2,-2,-2,6,6,-2,2,4,4,4,-2,-2,5,-2,-2,-2,-2,-2,3,3,-2,6,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
"gnomO","gymlin",2,-2,-2,-2,-2,2,2,2,2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"todsO","hedtod",2,3,-2,-2,-2,-1,-1,-1,3,3,2,-1,3,2,2,-1,-1,-1,-1,2,3,-1,-1,-1,2,2,-1,-1,-1,-1,2,2,-2,2,-1,-1,2,2 
"oahpO","hesarb",2,-2,-2,-2,-2,-2,-2,3,1,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"moloO","hibarn",2,2,-2,-2,-2,2,-2,2,2,-2,-2,3,3,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"kaupO","hibcla",2,2,-2,-2,-2,2,2,2,2,2,-2,3,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"kauaO","hibwoo",2,-2,-2,-2,-2,2,-2,-2,3,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"hawwR","himmex",2,2,2,2,-2,2,2,2,2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2 
"flscO","hypcum",2,1,-2,-2,-2,3,1,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"smalR","isomed",3,3,-2,-2,-2,2,3,2,1,-2,-2,3,3,3,-2,-2,-2,-2,-2,2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"beacO","jacrec",2,2,-2,-2,-2,1,2,1,1,1,-2,3,-2,3,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"oahpO","labcyr",2,2,-2,-2,-2,2,2,1,1,-2,-2,3,3,-2,-2,-2,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"pinkO","lamabr",2,2,-2,-2,-2,2,2,2,2,-2,-2,-2,2,2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2 
"snakO","lanxsp",3,1,-2,-2,-2,2,-2,-2,1,2,-2,3,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"caroO","lasdec",2,2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"praiO","leslep",2,2,-2,-2,-2,-2,-2,2,1,-2,-2,3,3,3,-2,2,-2,-2,3,2,3,2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,2,3,2,-2 
"flscR","liaohl",2,2,-2,-2,-2,2,4,4,2,2,-2,-2,2,-2,-2,-2,-2,-2,2,4,4,-2,-2,-2,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2 
