"PLAN","SPECIES","443ABC","444ABC","445ABC","446ABC","447ABC","448ABC","449ABC","450ABC","451ABC","452ABC","453ABC","454ABC","455ABC","456ABC","457ABC","458ABC"
"selkR","rantar",-2,-2,-2,12,-2,12,-2,2,2,-2,-2,-2,-2,-2,2,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-1,-2,-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,12,-2,-2 
"grpiR","sarore",12,12,12,10,10,10,-2,12,-2,-2,-2,-2,-2,-2,12,-2 
"pallO","scaalb",12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"maplO","schhal",12,12,12,-2,-2,12,12,12,-2,2,-2,-2,-2,-2,-2,-2 
"oahpO","schkaa",-3,-2,-2,-3,-2,-2,-2,-2,-3,-3,-3,-3,-2,-3,-2,-2 
"oahpO","schkea",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","schspe",3,3,3,3,3,3,-2,2,2,3,2,-2,-2,3,3,-2 
"delmR","scinig",-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"enruO","soldry",12,-2,-2,-2,-2,-2,-1,-1,12,12,3,-1,-2,3,12,12 
"hougO","solhou",-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",12,-3,-3,10,-3,-3,-1,12,12,12,12,-3,-3,12,12,-3 
"caleO","steant",12,12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",12,-2,-2,12,-2,-2,12,12,12,12,2,-2,-2,3,12,-2 
"mexiO","strocc",-3,-3,-3,2,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"loweO","sylpal",12,12,12,-2,-2,-2,3,3,12,-2,-2,-2,-2,-2,3,12 
"lanaO","tetrem",-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2 
"karsO","texred",-2,-2,-2,-1,-2,-2,12,12,12,12,-2,-2,-1,-1,12,-2 
"coolO","thacoo",12,-1,-1,-1,-1,-1,-1,12,12,-1,-1,-1,-1,-1,12,-1 
"pedaO","theste",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"soccO","thethe",-2,3,-2,-2,-2,3,-2,-2,-2,3,-2,-2,3,-2,3,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",12,12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,12,12,-2 
"attwR","tymcup",-2,-2,-2,-2,-2,-2,-2,10,10,-2,-2,-2,-2,-2,1,-2 
"grizR","ursarc",-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,12,-2,12,-2,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2 
"edwaR","ziztex",12,-2,-2,-2,-2,-2,12,12,12,12,-2,-2,12,-2,12,-2 
