"PLAN","SPECIES","405MMM","406MMM","407MMM","408MMM","409MMM","410MMM","411MMM","412MMM","413MMM","414MMM","415MMM","416MMM","417MMM","418MMM","419MMM","420MMM"
"hougO","solhou",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",0,-2,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,-2 
"caleO","steant",2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",3,3,3,3,3,3,-1,-1,-1,3,3,-2,-2,3,3,-2 
"mexiO","strocc",-2,-2,-2,2,-2,2,-2,2,2,2,-2,2,-2,-2,-2,-2 
"loweO","sylpal",3,3,3,-2,-2,-2,-1,3,3,-1,-1,-1,-2,-1,3,3 
"lanaO","tetrem",-2,3,3,-2,-2,3,3,-2,-2,3,-2,-2,-2,-2,-2,3 
"karsO","texred",-1,-2,-2,-1,-2,-2,3,3,-1,1,-1,-2,-1,-1,-1,-2 
"coolO","thacoo",1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1 
"pedaO","theste",-2,-1,-2,-1,-1,-1,-1,-1,-2,-1,-2,-2,-2,-1,-2,-2 
"soccO","thethe",-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,0,-2,0,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",0,0,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,0,-2 
"grizR","ursarc",-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,0,-2,2,-2,0 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",3,3,3,3,3,3,3,3,3,3,-2,-2,-2,-2,3,-2 
"edwaR","ziztex",0,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,0,-2,0,-2 
