"PLAN","SPECIES","347XX","348XX","349XX","350XX","351XX","352XX","353XX","354XX","355XX","356XX","357XX","358XX","359XX","360XX","361XX","362XX","363XX","364XX","365XX","366XX","367XX","368XX","369XX","370XX"
"everR","rossoc",-2,-1,12,-2,-2,-2,12,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2,12,12,12,12,-2 
"grpiR","sarore",12,12,10,12,10,12,12,-2,12,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,12,-2 
"pallO","scaalb",12,12,12,12,12,-2,-2,-2,12,-2,-2,-2,12,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2 
"maplO","schhal",12,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
"oahpO","schkaa",12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,12,-3,-3,12,12,-3,-3,12,-3,-3 
"oahpO","schkea",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","schspe",3,3,3,3,3,2,2,2,2,8,-2,2,-2,-2,3,3,3,3,3,2,2,2,2,-2 
"delmR","scinig",12,12,12,-2,-2,-2,12,-2,-2,-2,12,12,3,-2,-2,-2,-2,-2,12,-2,-2,-2,12,-2 
"enruO","soldry",12,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,12,12 
"alabR","spepou",-3,-3,10,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,10,-3 
"caleO","steant",-2,12,12,12,12,-2,12,12,12,-2,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,12,-2,12 
"kaupO","stecam",12,12,3,3,3,2,2,2,2,8,-2,2,-2,-2,3,12,3,12,3,12,12,12,12,-2 
"mexiO","strocc",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"loweO","sylpal",-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,12,-2,-2,-2,-2,-2 
"karsO","texred",12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2,12,-2,-2,-2,12,12,12 
"coolO","thacoo",12,12,12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2,-2 
"pedaO","theste",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"soccO","thethe",-2,3,3,-2,-2,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2 
"prfeO","theyau",-2,-3,-2,-2,-2,-2,-3,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-3,-2,-3,-2,-2 
"westR","triman",-2,-1,12,-2,12,-2,12,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,12,-2,12,-2,-2 
"bariO","tritri",-2,12,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
