"PLAN","SPECIES","130K","131K","132K","133K","134K","135K","136K","137K","138K","139K","140K","141K","142K","143K","144K","145K","146K","147K","148K","149K","150K","151K","152K","153K","154K","155K","156K","157K","158K","159K","160K","161K","162K","163K","164K","165K","166K","167K"
"tarrR","ellste",12,12,12,12,-2,12,-2,-2,-2,-2,12,12,-2,12,-2,12,12,-2,12,12,12,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2 
"cavpO","eryari",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"antiR","erycap",-1,-1,-2,-2,-2,12,12,-2,-2,-2,-2,12,-2,12,-2,10,-2,-2,10,10,10,10,10,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,10 
"flscR","erycun",12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"seveO","erymen",10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2 
"threO","eryter",-1,-1,-2,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1 
"slacO","ethbos",10,10,-2,10,10,10,10,-2,10,-2,-2,1,-2,1,-2,10,-2,-2,10,-2,10,10,10,10,-2,-2,-2,-2,-2,-2,-2,10,-2,-2,-1,-2,-2,-2 
"edwaR","ethfon",-3,-2,-2,-2,-2,-3,-3,-2,-3,-2,-2,-3,-2,-3,-3,-3,-3,-2,-3,-3,-3,-2,-3,-3,-2,-3,-3,-3,-2,-2,-2,-3,-3,-2,-3,-3,-3,-2 
"wateR","ethnuc",10,12,-2,-2,-2,12,12,-2,-2,-2,12,12,-2,12,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",2,2,-2,-2,-2,2,2,-2,2,-2,-2,2,2,4,2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,-2,2,-2 
"bayoR","ethrub",-3,-3,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",12,-2,-2,-2,-2,-2,-2,-2,12,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,7,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pereO","falper",-2,-2,1,1,-2,1,1,1,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2 
"ampeO","falper",-2,12,12,12,12,12,12,12,12,-2,-2,12,-2,12,12,12,-2,-2,-2,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2,12,12,-2,-2 
"hawwR","fulame",1,1,1,1,1,1,1,-1,1,-1,-2,1,1,1,1,1,-1,-2,-2,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2 
"lanaO","gahlan",-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2,-1,-1,-2,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"hawwR","galchl",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-1,-2,-2,-2,-1,-1,-2,-1,-2,-2,-1,-2,-1,-2,-1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2 
"hawgO","garbri",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,-2 
"unarR","gasacu",12,12,-3,12,-3,-3,-3,-3,12,-3,-2,-3,12,-3,-3,-3,-3,-3,-3,12,12,-3,-3,-3,-3,12,-3,-3,-3,-3,-3,-3,12,-3,12,-3,-3,-3 
"maplO","gerarb",12,12,-2,-2,-2,12,12,-2,12,12,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,-2 
"humpR","gilcyp",12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2,-2,-2,-2,12,12,12,12,12,12,-2,12,-2,-2,-2,-2,12,12,12,-2,12,-2,-2,-2 
