"PLAN","SPECIES","347VV","348VV","349VV","350VV","351VV","352VV","353VV","354VV","355VV","356VV","357VV","358VV","359VV","360VV","361VV","362VV","363VV","364VV","365VV","366VV","367VV","368VV","369VV","370VV"
"apalO","macalb",-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",1,0,0,1,0,0,1,1,1,0,-2,-1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1 
"kaupO","melpal",0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"oahpO","melsai",1,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,1,0,1,1,0,0,0,0,-2 
"armaO","miccal",-2,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"hualO","micmex",1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,-2 
"blacR","musnig",1,1,-2,-2,-2,1,1,1,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"kaufO","myapal",0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",0,0,0,-2,-2,-2,0,0,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2 
"indiR","myosod",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,0,0,-2 
"oahpO","nothum",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2 
"neosO","notpla",-2,1,0,1,0,1,0,-2,0,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2 
"ringO","oboret",-2,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"keydR","odvicl",-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,1 
"coluR","odvile",1,1,1,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,0,-2,-2 
"antiR","oendel",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-1,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2,-1,-2,-1,-2,-2 
"grcuR","onccla",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,1,-2,-2,-2,0,-2,1,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"nashR","orcsho",0,0,0,1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"flscR","parcha",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",-2,0,0,-2,0,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,1,1,-2 
"prcrO","pellem",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"lanaO","phygla",0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,0,-2,0 
"biadO","phyrac",-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2 
"redcR","picbor",-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"shenO","pleshe",1,1,1,1,1,1,0,-2,-2,-2,1,1,-2,-2,-2,1,-2,1,-2,-2,-2,1,1,-2 
"fishR","poeocc",-2,0,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"cavpO","pognud",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"flscR","polbas",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",0,0,0,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",0,0,0,-2,-2,0,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",1,0,0,-2,-2,0,0,0,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2 
"guamO","ptemar",0,0,0,0,0,-2,0,0,-2,0,0,-2,-2,-2,0,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2 
"coloR","ptyluc",0,0,0,1,-2,1,0,0,0,-2,0,-2,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,-2 
"flopR","pumcon",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alamO","pyrneo",0,0,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"tombO","quasta",0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",0,0,0,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2 
"selkR","rantar",-2,-2,0,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,1,-2,-2,0,0,0,0,-2 
"kendO","rhiosc",-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"chapO","rhocha",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,0,-2,-2,-2,-2,0,-2,-2,0,1,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-1,-1,-2 
"pallO","scaalb",0,1,1,1,1,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"maplO","schhal",0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2 
"oahpO","schkaa",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,0,-2,-2,0,-2,-2 
"oahpO","schkea",-2,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,0,-2,0,0,-2,-2,0,0,-2 
"kaupO","schspe",0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0 
"delmR","scinig",0,0,0,-2,-2,-2,0,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2 
"enruO","soldry",1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0 
"alabR","spepou",-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1 
"caleO","steant",-2,0,0,0,0,-2,0,0,0,-2,0,0,-2,-2,1,-2,-2,-2,-2,-2,-2,0,-2,1 
"kaupO","stecam",0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0 
"mexiO","strocc",-2,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"loweO","sylpal",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",0,0,0,-2,-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,0,0,0 
"karsO","texred",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,-2,-2,-2,0,0,0 
"coolO","thacoo",0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"pedaO","theste",-2,0,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,0,0,0,0,-2 
"soccO","thethe",-2,1,1,-2,-2,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"prfeO","theyau",-2,1,-2,-2,-2,-2,1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
"westR","triman",-2,0,0,-2,0,-2,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2 
"bariO","tritri",-2,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"grizR","ursarc",1,1,1,1,1,1,1,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"cachO","xanriv",0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2 
