"PLAN","SPECIES","347TT","348TT","349TT","350TT","351TT","352TT","353TT","354TT","355TT","356TT","357TT","358TT","359TT","360TT","361TT","362TT","363TT","364TT","365TT","366TT","367TT","368TT","369TT","370TT"
"saltO","raloob",-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2 
"selkR","rantar",-2,-2,1,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,1,1,-2 
"kendO","rhiosc",-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"chapO","rhocha",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,1,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-1,-1,-2 
"pallO","scaalb",0,1,1,1,1,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"maplO","schhal",2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
"oahpO","schkaa",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,1,-2,-2,1,-2,-2 
"oahpO","schkea",-2,2,2,2,2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,2,-2,2,0,-2,-2,2,2,-2 
"kaupO","schspe",1,1,1,1,1,1,1,1,1,1,-2,1,0,-2,1,1,1,1,1,1,1,1,1,0 
"delmR","scinig",2,2,2,-2,-2,-2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2 
"enruO","soldry",-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1 
"alabR","spepou",-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1 
"caleO","steant",-2,1,1,1,1,-2,1,1,1,-2,1,1,-2,-2,2,-2,-2,-2,-2,-2,-2,1,-2,2 
"kaupO","stecam",1,1,1,1,1,1,1,1,1,1,-2,1,0,-2,1,1,1,1,1,1,1,1,1,0 
"mexiO","strocc",-2,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2 
"loweO","sylpal",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2 
"lanaO","tetrem",0,0,0,-2,-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,0,0,-2,-2,0,0,0 
"karsO","texred",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,1,1,1 
"coolO","thacoo",1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"pedaO","theste",-2,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,1,1,1,1,-2 
"soccO","thethe",-2,0,0,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"prfeO","theyau",-2,1,-2,-2,-2,-2,1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
"westR","triman",-2,0,2,-2,2,-2,2,2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2 
"bariO","tritri",-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"grizR","ursarc",2,2,2,2,2,2,2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
