"kauaO","cyrcya","kauaO","cyrcya","Temple99","Cyrtandr","Cyaneoid","-2","Rock","Mapele",1,2,1996,10,10,0,-2,-2,-2,"2",0,0,0,14,1,0,3,1,3,1,1,2,-1,2,0,0,"USFWS1",1,1,1,0,0,0 
"biplO","cyrgif","biplO","cyrgif","nielson1","Cyrtandr","giffardi","-2","Rock","ha'iwale",1,2,1994,4,4,0,-2,-2,-2,"2",0,0,0,14,1,0,3,2,3,2,3,-1,-1,2,0,0,"USFWS1",2,2,-1,1,1,0 
"oahpO","cyrvir","oahpO","cyrvir","Estill63","Cyrtandr","viridifl","-2","St. John","haiwale",1,2,1996,10,10,0,-2,-2,-2,"5",0,0,0,14,1,0,2,2,2,2,1,1,3,2,0,0,"USFWS1",1,2,-2,1,0,0 
"kirtR","denkir","kirtR","denkir","Robinson","Dendroic","kirtland","-2","-2","kirtland",1,2,1967,2,24,-2,-2,-2,-2,"-2",0,0,0,2,3,-2,4,2,4,2,7,1,2,24,1,1,"USFWS3",-2,-3,2,1,1,0 
"flomO","dicchr","flomO","dicchr","Sin74","Dicerand","frutesce","-1","-2","Scrub mi",1,2,1985,11,15,-1,-2,-2,-2,"-2",0,0,0,14,1,1,2,1,2,2,2,1,-2,4,-2,-2,"USFWS1",1,2,-3,1,0,-1 
"tennR","echten","tennR","echten","Morse75","Echinace","Tennesse","-2","(Beadle)","Tennesse",1,2,1979,6,6,0,-2,-2,-2,"8",0,0,0,14,1,0,-1,3,3,3,4,1,1,9,0,0,"USFWS4",1,2,1,1,1,0 
"tarrR","ellste","tarrR","ellste","Kimberly","Elliptio","steinsta","-2","Jonson a","Tar Spin",1,2,1985,7,29,-1,-2,-2,-2,"-1",0,0,0,8,6,0,-1,2,-1,2,21,1,-2,9,0,0,"USFWS4",1,1,-3,1,1,1 
"cavpO","eryari","cavpO","eryari","McKnight","Eryngium","aristula","var. par","(J. Coul","San Dieg",2,2,1993,8,3,-3,-3,-3,-3,"3C",0,0,0,14,1,0,3,2,3,2,27,1,-2,4,1,0,"USFWS1",3,2,4,1,1,0 
"antiR","erycap","antiR","erycap","Kellogg1"," "," ","var. ang","Greene &","Contra C",2,2,1978,4,26,1,1978,8,31,"6",0,0,0,14,1,0,-1,-1,1,4,11,2,-1,4,0,0,"USFWS1",3,3,-3,1,1,0 
"flscR","erycun","flscR","erycun","Stanley2","Eryngium","cuneifol","-2","Small","Scrub-ce",1,2,1987,2,20,0,-2,-2,-2,"-3",0,0,0,14,1,0,-1,-1,3,3,12,1,1,9,0,0,"USFWS4",1,-1,-3,1,0,0 
"seveO","erymen","seveO","erymen","hebblewh","Erysimum","meziesii","yadonii,","hooker","menzies",2,2,1992,6,22,0,-2,-2,-2,"2",0,0,0,14,1,0,-1,3,2,3,-1,1,1,4,0,0,"USFWS1",2,2,4,1,1,1 
"threO","eryter","threO","eryter","Temple99","Erysimum","teretifo","-2","-2","Ben Lomo",2,2,1981,-1,-1,0,-2,-2,-2,"9",0,0,0,14,1,0,-1,-1,-1,3,10,1,3,4,0,0,"USFWS1",1,-1,-1,1,1,0 
"slacO","ethbos","slacO","ethbos","Davis129","Etheosto","boschung","-2","-2","slackwat",1,1,1977,9,9,1,1977,9,9,"-1",0,0,0,5,3,5,-1,3,4,3,21,1,-2,9,0,1,"USFWS4",1,2,-3,1,1,0 
"edwaR","ethfon","edwaR","ethfon","Newbold1","Etheosto","Fonticol","-2","-2","Fountain",1,2,1970,10,13,1,1980,7,14,"5C",0,0,0,5,4,3,2,1,2,2,21,1,-2,7,0,0,"USFWS2",1,2,4,1,0,1 
"wateR","ethnuc","wateR","ethnuc","Temple99","Etheosto","nuchale","-2","-2","Watercre",1,2,1970,10,13,1,-1,-1,-1,"*Awaitin",0,0,0,5,3,-1,-1,1,-1,1,21,1,2,9,0,0,"USFWS4",2,2,-3,1,1,0 
"okalO","ethoka","okalO","ethoka","Eustace2","Etheosto","okaloosa","-2","Fowler","Okaloosa",1,2,1973,6,4,0,-2,-2,-2,"-1",0,0,0,5,-1,3,-1,2,3,2,21,2,-1,9,0,0,"USFWS4",3,3,-2,1,1,1 
