1,2,3,4,5,6,7,8,9,Date of Most Current RP (fixed),10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,PLAN,SPECIES
chihO,gilnig,kelleher,chihO,1,1,47,12,1986,1986,4,14,0,,,,,0,-2,4,-1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,chihO,gilnig 
fishR,gilpur,langridg,fishR,8,3,48,33,1995,1995,3,29,-1,,,,,1,-1,4,1,3,2,0,0,0,0,0,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,fishR,gilpur 
whooR,gruame,Bradley3,whooR,1,1,100,40,1983,1994,2,11,2,1986,1994,,,2,-2,1,2,2,3,0,0,0,0,0,1,2,0,1,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,whooR,gruame 
missR,grucan,Trexel39,missR,1,1,42,44,1979,1991,9,6,3,1979,1984,1991,,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,4,4,6,0,0,1,0,9,18,0,missR,grucan 
cacoR,gymcal,Hanni128,cacoR,1,1,62,62,1975,1996,4,25,1,1979,1984,1996,,3,3,1,3,3,1,0,0,0,0,0,2,9,0,12,19,1,0,1,5,0,0,0,4,0,0,0,0,cacoR,gymcal 
gnomO,gymlin,lyons204,gnomO,1,1,30,16,1997,1997,9,30,0,,,,,-2,-2,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,gnomO,gymlin 
todsO,hedtod,Wright17,todsO,1,1,26,11,1985,1985,3,22,0,,,,,-2,-2,2,0,0,0,0,0,1,0,0,0,0,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,todsO,hedtod 
oahpO,hesarb,Brigham1,oahpO,66,2,348,28,1998,1998,8,10,0,,,,,-2,-2,4,11,6,1,6,0,0,0,0,0,4,2,1,-1,1,0,1,7,0,0,0,0,0,0,2,0,oahpO,hesarb 
moloO,hibarn,Allen20,moloO,16,2,143,27,1996,1996,9,26,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,0,0,1,moloO,hibarn 
kaupO,hibcla,Schwartz,kaupO,37,2,270,45,1995,1995,9,20,0,,,,,0,-2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,kaupO,hibcla 
kauaO,hibwoo,Temple99,kauaO,20,2,138,45,1998,1998,8,23,0,,,,,0,-2,1,5,0,0,0,0,0,0,0,0,0,0,0,6,1,-1,-1,-1,-1,0,0,0,0,-1,0,0,kauaO,hibwoo 
hawwR,himmex,Merideth,hawwR,4,2,104,61,1978,1985,9,11,1,1985,,,,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,3,1,2,0,0,0,0,0,0,1,hawwR,himmex 
flscO,hypcum,Jurjavci,flscO,11,2,64,26,1990,1990,1,29,1,1996,,,,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,flscO,hypcum 
smalR,isomed,Rieder16,smalR,1,1,75,31,1985,1992,11,13,1,1992,,,,1,2,4,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,4,0,0,0,0,0,2,0,1,smalR,isomed 
beacO,jacrec,Peacock6,beacO,1,1,25,16,1996,1996,11,1,0,,,,,0,-2,4,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,2,0,1,0,2,0,0,0,beacO,jacrec 
oahpO,labcyr,Fagan97,oahpO,66,2,348,28,1998,1998,8,10,0,,,,,0,-2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,4,1,0,0,2,0,4,3,0,oahpO,labcyr 
pinkO,lamabr,Aguiar67,pinkO,1,1,47,6,1985,1985,-1,-1,0,,,,,0,-2,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,9,22,9,0,1,3,0,18,4,2,pinkO,lamabr 
snakO,lanxsp,Damiani1,snakO,10,3,92,36,1995,1995,11,26,0,,,,,0,-2,4,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,4,4,1,2,4,5,1,5,0,snakO,lanxsp 
caroO,lasdec,Coshland,caroO,1,1,35,14,1997,1997,1,17,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,caroO,lasdec 
praiO,leslep,Auckland,praiO,1,1,41,23,1988,1988,10,6,0,,,,,0,-2,1,1,0,5,0,0,0,0,0,0,0,0,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,praiO,leslep 
flscR,liaohl,Kellogg1,flscR,19,2,139,35,1990,1996,1,29,1,1996,,,,1,4,4,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,4,1,1,0,0,0,0,4,0,1,flscR,liaohl 
kaupO,lipfau,Schwartz,kaupO,37,2,270,45,1995,1995,9,20,0,,,,,0,-2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,kaupO,lipfau 
oahpO,loboah,mojonnie,oahpO,66,2,348,28,1998,1998,8,10,0,,,,,0,-2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,3,0,0,0,0,0,2,0,oahpO,loboah 
flscR,lupari,hudgens1,flscR,19,2,134,37,1990,1996,6,20,1,1996,,,,1,-1,-1,-1,0,0,0,0,1,0,0,7,3,0,-1,6,0,0,4,0,1,0,1,0,0,3,1,1,flscR,lupari 
lotiO,lycarg,brunner1,lotiO,1,1,52,34,1985,1985,12,26,0,,,,,0,-2,3,1,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,lotiO,lycarg 
roleO,lysasp,Jones64,roleO,1,1,32,15,1995,1995,4,19,0,,,,,0,-2,5,-1,0,1,0,0,0,0,0,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,roleO,lysasp 
apalO,macalb,Sullivan,apalO,4,2,38,10,1994,1994,6,22,0,,,,,0,-2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,2,1,0,0,0,0,2,1,0,apalO,macalb 
mohrO,marmoh,Nevin195,mohrO,1,1,20,-3,1991,1991,11,26,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,mohrO,marmoh 
kaupO,melpal,hilderbr,kaupO,37,2,270,45,1995,1995,9,20,0,,,,,0,-2,4,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kaupO,melpal 
oahpO,melsai,murphy21,oahpO,66,2,348,28,1998,1998,8,10,0,,,,,0,-2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,3,0,0,0,0,0,2,0,oahpO,melsai 
armaO,miccal,Hosseini,armaO,1,1,52,37,1997,1997,9,15,0,,,,,0,-2,2,5,3,2,0,0,1,0,0,0,2,0,9,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,armaO,miccal 
hualO,micmex,Hatch25,hualO,1,1,28,25,1991,1991,8,19,0,,,,,0,-2,4,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0,0,0,0,0,0,0,0,hualO,micmex 
blacR,musnig,Bakker40,blacR,1,1,154,154,1978,1988,6,14,1,1988,,,,1,3,4,1,0,0,0,0,1,0,0,0,0,0,0,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,blacR,musnig 
kaufO,myapal,Regetz13,kaufO,6,2,69,39,1983,1983,7,29,0,,,,,0,-2,1,1,0,3,0,0,0,0,0,0,0,0,1,11,0,0,2,2,1,0,0,0,0,0,1,0,kaufO,myapal 
woodO,mycame,Temple99,woodO,1,1,33,22,1986,1986,9,9,1,1996,,,,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,22,0,1,9,17,2,0,0,2,1,1,2,0,woodO,mycame 
indiR,myosod,Calabres,indiR,1,1,82,32,1976,1983,10,14,1,1983,,,,1,-1,1,1,1,-2,1,-2,2,1,-2,1,-2,-2,2,13,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,indiR,myosod 
oahpO,nothum,Haynes-S,oahpO,66,2,349,16,1998,1998,8,10,0,,,,,0,-2,4,11,1,7,0,0,0,0,0,0,5,9,1,-1,1,0,0,1,1,0,0,0,0,0,1,0,oahpO,nothum 
capeO,notmek,Campbell,capeO,1,1,19,16,1988,1988,10,7,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6,1,0,0,0,0,4,4,0,capeO,notmek 
neosO,notpla,aldrich-,neosO,1,1,50,35,1991,1991,9,30,0,,,,,0,-2,2,-1,0,0,0,0,1,0,0,1,0,0,9,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,neosO,notpla 
ringO,oboret,Lundquis,ringO,1,1,24,17,1991,1991,3,25,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,8,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,ringO,oboret 
