"PLAN","SPECIES","405III","406III","407III","408III","409III","410III","411III","412III","413III","414III","415III","416III","417III","418III","419III","420III"
"harpO","ptinod",-2,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"coloR","ptyluc",-2,-1,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",6,-2,-2,6,-2,-2,6,2,-2,-2,-2,6,-2,-2,6,-2 
"selkR","rantar",-2,-2,-2,-1,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2 
"pallO","scaalb",-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1 
"maplO","schhal",1,1,1,1,1,1,-1,1,1,-1,-1,-1,-2,-1,-1,-2 
"oahpO","schkaa",1,1,1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,1,-2 
"oahpO","schkea",6,6,6,6,6,6,-2,-2,-2,6,-2,-2,-2,-2,-2,6 
"kaupO","schspe",1,1,1,1,1,1,-1,-1,-1,1,1,-2,-2,1,1,-2 
"delmR","scinig",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"enruO","soldry",2,-2,-2,2,-2,-2,-1,-1,2,2,2,-1,-2,1,2,1 
"hougO","solhou",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",3,-2,-2,-1,-2,-2,-1,4,4,2,-1,-1,-1,-1,2,-2 
"caleO","steant",1,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",1,1,1,1,1,1,-1,-1,-1,1,1,-2,-2,1,1,-2 
"mexiO","strocc",-2,-2,-2,5,-2,5,-2,4,4,1,-2,1,-2,-2,-2,-2 
"loweO","sylpal",5,5,5,-2,-2,-2,-1,1,1,-1,-1,-1,-2,-1,1,1 
"lanaO","tetrem",-2,6,6,-2,-2,6,6,-2,-2,6,-2,-2,-2,-2,-2,6 
"karsO","texred",-1,-2,-2,-1,-2,-2,1,1,-1,2,-1,-2,-1,-1,-1,-2 
"coolO","thacoo",3,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1 
