"PLAN","SPECIES","443ZZZ","444ZZZ","445ZZZ","446ZZZ","447ZZZ","448ZZZ","449ZZZ","450ZZZ","451ZZZ","452ZZZ","453ZZZ","454ZZZ","455ZZZ","456ZZZ","457ZZZ","458ZZZ"
"selkR","rantar",-2,-2,-2,1,-2,1,-2,0,0,-2,-2,-2,-2,-2,0,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-1,-2,-2,1,-2,-2,-2,2,-2,-2,-2,-2,-2,1,-2,-2 
"grpiR","sarore",2,2,2,1,1,1,-2,2,-2,-2,-2,-2,-2,-2,2,-2 
"pallO","scaalb",1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"maplO","schhal",1,1,1,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,0,-2 
"oahpO","schkaa",-3,-2,-2,-3,-2,-2,-2,-2,-3,-3,-3,-3,-2,-3,-2,-2 
"oahpO","schkea",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","schspe",0,0,0,0,0,0,-2,0,0,0,0,-2,-2,0,0,-2 
"delmR","scinig",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"enruO","soldry",1,-2,-2,0,-2,-2,-1,-1,1,1,2,-1,-2,1,1,1 
"hougO","solhou",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",1,-3,-3,2,-3,-3,-1,1,2,2,1,-3,-3,1,1,-3 
"caleO","steant",1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",1,-2,-2,1,-2,-2,1,1,1,1,0,-2,-2,0,1,-2 
"mexiO","strocc",-3,-3,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"loweO","sylpal",2,2,2,-2,-2,-2,1,1,2,-2,-2,-2,-2,-2,1,1 
"lanaO","tetrem",-2,0,0,-2,-2,0,-2,-2,-2,-3,-2,-2,-2,-2,-2,0 
