"PLAN","SPECIES","308LL","309LL","310LL","311LL","312LL","313LL","314LL","315LL","316LL","317LL","318LL","319LL","320LL","321LL","322LL","323LL","324LL","325LL","326LL","327LL","328LL","329LL","330LL","331LL","332LL","333LL","334LL","335LL","336LL","337LL","338LL","339LL","340LL","341LL","342LL","343LL"
"cavpO","eryari",-2,-3,-2,-2,-3,-2,-3,-2,-3,-2,-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-3 
"antiR","erycap",-2,12,-2,-2,12,-2,-2,-2,12,-2,-2,12,12,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2 
"flscR","erycun",-2,12,-2,-2,-2,-2,-2,-2,-3,-2,-2,12,12,12,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,12,-2,12,-2,-2,-2 
"seveO","erymen",-2,-2,-2,-2,-2,-2,-2,-2,12,12,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"threO","eryter",-2,-1,-1,-1,-1,-1,-1,-1,8,8,-1,8,-1,-2,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"slacO","ethbos",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ethfon",-2,-2,-2,-2,-3,-2,-3,-3,-3,-3,-2,-3,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-3 
"wateR","ethnuc",-2,-2,10,10,2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,11 
"okalO","ethoka",-2,1,-2,-2,-2,-2,3,-2,1,3,-2,12,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3 
"elseO","eupbat",-2,-2,-2,-2,-2,-2,-2,-2,7,-2,-2,7,7,-2,-2,7,7,7,7,-2,-2,7,7,-2,-2,-2,-2,-2,-2,7,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pereO","falper",-2,1,1,-2,1,1,-2,-2,-2,-2,-2,1,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ampeO","falper",12,12,-2,12,12,12,-2,12,-2,12,-2,12,-2,-2,12,12,12,-1,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"hawwR","fulame",-2,-2,-2,-2,-2,12,12,12,12,-2,-2,12,12,-2,12,-2,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","gahlan",-2,-1,-2,-2,-1,-2,12,-2,12,-2,12,-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-3,-3,-3,-2,-3,-3,-2,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3 
"edwaR","gamgeo",-2,-1,-2,-2,-1,-2,-1,-1,-1,-1,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",-2,8,-2,-2,12,-2,12,8,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",-3,12,-3,12,-3,-3,-3,-3,12,-3,12,12,12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"maplO","gerarb",-2,-2,-2,-2,-2,-2,2,-2,-1,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,12,-2,-2,12,12,12,-2,12,12,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,12,-2,-2,12,-2,-2,-2,12,12,12,12,12,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"chihO","gilnig",-2,-3,-2,-2,-3,-3,-2,-2,-3,-2,-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","gilpur",-2,-3,-2,-2,-2,-2,-2,-2,-3,-3,-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",-2,12,-2,-2,12,12,-2,12,-2,-2,-2,12,12,-2,12,-2,-2,12,12,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",-1,1,-2,-2,12,1,1,1,-2,-2,1,1,12,1,1,1,12,1,12,1,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cacoR","gymcal",12,12,12,-2,12,12,-3,-2,-2,-2,-2,-3,-3,-2,-3,-3,-2,12,12,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",-2,-2,-3,-2,-3,-2,-2,-2,-3,-2,-2,-3,-3,-2,-3,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"todsO","hedtod",-2,-2,2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",-2,-2,-2,-2,12,-3,12,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",-2,-2,-2,-2,12,-2,-2,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","hibcla",-2,12,12,-2,12,-2,12,-2,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",-2,-2,-2,-2,-2,12,12,12,12,-2,-2,12,12,-2,12,12,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2 
