"PLAN","SPECIES","308NN","309NN","310NN","311NN","312NN","313NN","314NN","315NN","316NN","317NN","318NN","319NN","320NN","321NN","322NN","323NN","324NN","325NN","326NN","327NN","328NN","329NN","330NN","331NN","332NN","333NN","334NN","335NN","336NN","337NN","338NN","339NN","340NN","341NN","342NN","343NN"
"mohrO","marmoh",-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2 
"kaupO","melpal",-2,0,-2,-2,0,-2,0,0,0,0,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","melsai",-2,2,2,4,1,0,1,-2,1,1,-2,0,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",-2,0,-2,0,-2,-2,-2,-2,0,-3,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hualO","micmex",-2,0,0,-2,0,-2,-2,-2,0,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"blacR","musnig",0,0,-2,0,0,-2,-2,0,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaufO","myapal",-2,0,-2,-2,0,-2,0,0,2,-2,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"indiR","myosod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","nothum",-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,0,0,-2,0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0 
"ringO","oboret",-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"coluR","odvile",0,0,0,0,-2,0,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"antiR","oendel",-2,0,0,-2,-2,-2,-2,-2,0,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,0,0,0,0,0,-2,-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
