"PLAN","SPECIES","347RR","348RR","349RR","350RR","351RR","352RR","353RR","354RR","355RR","356RR","357RR","358RR","359RR","360RR","361RR","362RR","363RR","364RR","365RR","366RR","367RR","368RR","369RR",370RR"
"roleO","lysasp",-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"apalO","macalb",-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",1,1,1,1,1,1,-1,1,-1,-1,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1 
"kaupO","melpal",2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"oahpO","melsai",3,3,3,3,3,3,3,3,3,-1,-2,-2,-2,-2,-2,3,-1,3,1,3,3,3,3,-2 
"armaO","miccal",-2,2,3,3,3,3,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2 
"hualO","micmex",3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2 
"blacR","musnig",1,1,-2,-2,-2,1,1,1,-2,1,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"kaufO","myapal",-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",2,2,2,-2,-2,-2,2,2,2,2,1,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2 
"indiR","myosod",-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2 
"oahpO","nothum",3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2 
"neosO","notpla",-2,2,2,2,2,2,2,-2,2,-2,2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-1,-2,-2 
"ringO","oboret",-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"keydR","odvicl",-2,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-1 
