"oahpO","labcyr","oahpO","labcyr","Fagan97",0,0,0,13,13,15,2,0,0,0,0,0,1,6,20,25666,7010,300,-1,1,0 
"pinkO","lamabr","pinkO","lamabr","Aguiar67",0,0,0,6,6,6,6,0,0,0,0,0,0,6,-1,-1,-1,-1,-1,0,0 
"snakO","lanxsp","snakO","lanxsp","Damiani1",0,0,1,25,26,11,9,0,0,7,8,1,1,0,-1,1923,240,0,-1,0,1 
"caroO","lasdec","caroO","lasdec","Coshland",0,0,0,14,11,11,0,0,0,0,0,0,4,0,-1,91.5,141.5,-1,-2,-1,1 
"praiO","leslep","praiO","leslep","Auckland",0,0,0,24,0,24,0,0,0,0,0,0,5,6,5,0,649,47.5,-3,-1,0 
"flscR","liaohl","flscR","liaohl","Kellogg1",0,1,1,18,11,18,20,0,4,5,2,6,13,0,-1,3243,36.2,0.5,-3,1,0 
"kaupO","lipfau","kaupO","lipfau","Schwartz",0,0,0,45,32,45,2,0,0,1,1,0,26,0,-1,14830.5,8552,530,-2,1,1 
"oahpO","loboah","oahpO","loboah","mojonnie",0,0,0,26,24,28,0,0,0,10,0,0,5,2,20,34207,9848,300,-1,-1,1 
"flscR","lupari","flscR","lupari","hudgens1",0,1,0,18,1,13,9,0,3,4,0,9,16,3,7,3244,37.2,0.5,-3,1,1 
"lotiO","lycarg","lotiO","lycarg","brunner1",0,0,0,23,0,9,0,0,0,0,1,0,0,0,-1,30,126.5,4,-1,1,0 
"roleO","lysasp","roleO","lysasp","Jones64",2,0,1,15,0,15,0,0,0,0,0,0,1,0,-1,-1,60.5,-1,-3,1,1 
"apalO","macalb","apalO","macalb","Sullivan",0,0,0,8,3,1,4,0,1,3,0,2,2,0,5,36,81,44,-3,-1,1 
"mohrO","marmoh","mohrO","marmoh","Nevin195",0,0,1,14,0,10,1,0,0,8,0,8,3,8,-1,-1,83,16,-1,1,0 
"kaupO","melpal","kaupO","melpal","hilderbr",0,0,0,3,6,36,0,0,0,0,0,0,0,0,-1,-1,-1,530,-3,-1,-1 
"oahpO","melsai","oahpO","melsai","murphy21",0,0,0,26,24,27,5,0,0,10,0,0,5,0,20,34207,9898,300,-1,1,1 
"armaO","miccal","armaO","miccal","Hosseini",0,0,1,26,37,29,0,0,0,0,0,0,17,0,-1,251,255,0,-2,-1,0 
"hualO","micmex","hualO","micmex","uriarte6",1,0,0,25,25,23,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1 
"blacR","musnig","blacR","musnig","Bakker40",2,0,0,154,47,136,24,0,0,0,12,20,17,3,-1,-1,-1,-1,-3,1,1 
"kaufO","myapal","kaufO","myapal","Regetz13",2,0,0,27,23,0,0,0,0,0,0,0,1,0,-1,813.5,184.5,508,-1,1,0 
"woodO","mycame","woodO","mycame","Temple99",0,0,0,13,7,15,1,0,0,0,0,0,5,1,-2,-1,-1,-1,-1,1,1 
"indiR","myosod","indiR","myosod","Calabres",0,0,1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0 
"oahpO","nothum","oahpO","nothum","Haynes-S",0,0,0,17,16,17,1,0,0,0,0,0,3,7,20,32137,6210,300,-1,1,1 
"capeO","notmek","capeO","notmek","Campbell",0,0,0,16,1,16,13,0,0,0,0,0,0,0,-2,79,74,1.5,-3,-1,1 
"neosO","notpla","neosO","notpla","Gallaghe",0,0,0,32,16,33,3,0,0,0,0,0,0,0,7,-1,-1,-1,-1,1,0 
"ringO","oboret","ringO","oboret","Lundquis",0,1,1,17,17,17,0,0,0,0,0,0,0,0,-1,-1,187,-1,-1,1,1 
"keydR","odvicl","keydR","odvicl","Temple99",0,0,0,20,0,7,1,0,0,0,0,0,1,0,-1,-1,35,180,-3,1,0 
"coluR","odvile","coluR","odvile","Reed110",2,0,0,23,0,21,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-3,1,0 
"antiR","oendel","antiR","oendel","Hanni128",0,0,0,29,1,9,0,0,0,0,0,0,0,0,6,36.5,-1,0,-1,1,1 
"arizR","oncapa","arizR","oncapa","Dayton10",0,0,0,0,7,8,0,7,0,0,0,0,0,0,3,-1,-1,-1,-1,1,0 
"grcuR","onccla","grcuR","onccla","Morse75",-1,0,0,16,25,18,0,0,0,0,0,0,0,0,2,152,0,482,-3,1,0 
"gilaR","oncgil","gilaR","oncgil","Myers34",0,0,0,15,12,14,0,0,0,0,0,0,0,0,8,30,254,6,-3,1,0 
"nashR","orcsho","nashR","orcsho","Morse75",0,0,0,11,0,11,0,0,0,0,0,0,0,0,-1,16.5,33,9.5,42,1,1 
"flscR","parcha","flscR","parcha","Minnemey",0,0,0,19,11,19,11,0,0,5,2,5,23,0,2,3243,19,8.5,-3,1,0 
"mamoO","parfla","mamoO","parfla","Vege113",0,0,0,38,36,53,1,0,0,0,0,0,39,0,-2,1488,2132,459.8,-3,1,0 
"bradO","pedbra","bradO","pedbra","Goldsmit",0,0,0,12,8,0,4,6,0,0,0,0,0,0,-1,-1,-1,-1,-3,1,1 
"furbR","pedfur","furbR","pedfur","Leger179",0,0,0,6,-1,0,0,0,0,0,0,-1,-1,0,7,64,35.5,17.5,-3,1,0 
"prcrO","pellem","prcrO","pellem","Campbell",0,0,0,17,17,0,0,0,0,0,0,4,1,0,-1,13.5,177.5,30.7,-3,1,0 
"anasO","perpol","anasO","perpol","Bean29",0,0,0,15,9,9,0,0,0,0,0,0,0,0,8,-1,-1,-1,-3,1,0 
"snaiR","pertan","snaiR","pertan","Roon181",0,0,1,17,0,17,0,0,0,0,17,0,0,10,-1,-2,3000,80500,44190,-1,1 
"lanaO","phygla","lanaO","phygla","Allen20",0,0,0,41,14,43,2,0,0,0,10,0,15,4,22,4866.5,15421.5,45,-1,1,1 
