"PLAN","SPECIES","308FF","309FF","310FF","311FF","312FF","313FF","314FF","315FF","316FF","317FF","318FF","319FF","320FF","321FF","322FF","323FF","324FF","325FF","326FF","327FF","328FF","329FF","330FF","331FF","332FF","333FF","334FF","335FF","336FF","337FF","338FF","339FF","340FF","341FF","342FF","343FF"
"elseO","eupbat",0,3,0,0,2,1,0,0,2,0,0,2,1,0,1,2,1,2,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0 
"edwaR","eurnan",0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"pereO","falper",0,18,18,0,9,15,0,0,0,0,-2,9,2,0,0,3,3,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-2 
"ampeO","falper",6,5,-2,7,1,3,-2,3,-2,2,-2,6,-2,-2,9,18,3,4,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"hawwR","fulame",0,0,0,0,0,1,4,1,1,0,0,3,2,0,1,0,0,1,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0 
"lanaO","gahlan",-2,5,-2,-2,3,-2,6,2,4,-2,5,2,3,2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",0,0,0,0,0,1,6,0,0,0,1,8,2,0,1,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 
"edwaR","gamgeo",0,1,-2,-2,3,-2,2,1,2,2,-2,6,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawgO","garbri",-2,24,-2,-2,12,-2,36,17,-2,17,31,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",0,2,0,2,0,0,0,0,3,0,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"maplO","gerarb",-2,6,-2,6,1,-2,5,1,2,3,-2,-2,1,1,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,5,-2,-2,5,1,1,-2,1,1,-2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,2,-2,-2,2,-2,-2,-2,1,1,1,3,1,-2,2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"chihO","gilnig",0,2,0,0,1,1,0,0,1,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"fishR","gilpur",0,6,0,0,0,0,0,0,1,1,0,5,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"whooR","gruame",0,4,0,0,7,2,0,2,0,0,0,10,1,0,3,0,0,10,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
"missR","grucan",2,1,0,0,5,3,3,2,0,0,2,11,1,3,2,7,1,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"cacoR","gymcal",2,1,2,0,10,1,1,0,0,0,0,3,9,0,2,1,0,3,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
"gnomO","gymlin",-2,-2,1,-2,1,-2,-2,-2,1,-2,-2,2,3,-2,3,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"todsO","hedtod",-2,-2,2,2,1,-2,0,0,3,0,0,0,0,0,6,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",0,2,0,0,1,1,3,1,1,0,0,9,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0 
"moloO","hibarn",0,2,0,2,2,0,0,4,5,0,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 
"kaupO","hibcla",0,5,6,0,4,0,15,6,16,5,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"kauaO","hibwoo",-2,0,0,0,3,0,6,0,1,1,1,6,0,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0 
"hawwR","himmex",0,0,0,0,0,1,6,3,1,0,0,6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 
"flscO","hypcum",-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,4,1,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"smalR","isomed",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"beacO","jacrec",0,2,2,0,3,1,0,0,1,1,0,2,3,1,4,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,2,0,0,1 
"oahpO","labcyr",-2,4,0,0,1,0,2,0,0,1,0,3,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0 
"pinkO","lamabr",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 
"snakO","lanxsp",0,0,0,0,0,0,0,0,2,0,0,11,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,3 
"caroO","lasdec",0,1,0,0,1,0,0,0,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"praiO","leslep",0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"flscR","liaohl",0,4,4,0,2,0,0,0,0,0,-2,3,4,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"kaupO","lipfau",-2,5,6,2,4,0,15,6,16,5,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","loboah",-2,4,0,0,1,1,4,0,1,2,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,2,-2,-2,5 
"lotiO","lycarg",0,4,0,1,5,0,0,0,0,-2,0,4,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"roleO","lysasp",0,1,0,0,1,0,0,0,0,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"apalO","macalb",0,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1 
"mohrO","marmoh",-2,-2,-2,-2,1,-2,-2,-2,-2,3,-2,4,1,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"kaupO","melpal",0,2,0,0,1,0,8,2,6,1,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","melsai",-2,2,2,4,1,1,1,-2,2,2,-2,3,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"armaO","miccal",0,7,0,7,0,0,0,0,1,1,-2,3,0,0,4,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-2 
"hualO","micmex",0,1,1,0,1,0,0,0,1,0,0,7,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1 
"blacR","musnig",2,36,46,2,30,0,0,12,0,0,0,22,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"kaufO","myapal",0,1,0,0,8,-2,1,3,3,0,2,2,1,-2,1,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"indiR","myosod",0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,0,0,4,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","nothum",-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"neosO","notpla",0,4,4,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3 
"ringO","oboret",-2,4,-2,-2,1,1,-2,-2,-2,-2,-2,3,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",0,0,0,0,0,1,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"coluR","odvile",5,3,3,3,0,4,0,0,0,0,0,13,9,3,11,0,0,4,14,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
"antiR","oendel",-2,1,1,-2,-2,-2,-2,-2,7,-2,-2,38,13,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,-2,-2 
"arizR","oncapa",0,1,1,1,1,1,0,0,1,0,0,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"grcuR","onccla",0,1,0,1,4,2,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"gilaR","oncgil",0,7,-1,2,1,2,0,0,4,4,-2,4,0,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-2 
"nashR","orcsho",0,2,0,1,0,0,0,0,0,0,0,2,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"flscR","parcha",0,0,0,0,0,0,0,0,0,0,0,7,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
"mamoO","parfla",0,0,0,0,0,0,-2,3,1,0,-2,0,12,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-2 
"bradO","pedbra",0,0,0,0,0,3,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"furbR","pedfur",-2,1,0,0,0,0,-2,-2,-2,1,0,8,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0 
