"PLAN","SPECIES","130H","131H","132H","133H","134H","135H","136H","137H","138H","139H","140H","141H","142H","143H","144H","145H","146H","147H","148H","149H","150H","151H","152H","153H","154H","155H","156H","157H","158H","159H","160H","161H","162H","163H","164H","165H","166H","167H"
"hawwR","galchl",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2 
"edwaR","gamgeo",1,1,-2,-2,-2,1,1,-2,1,-2,-2,1,-2,1,-2,2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2 
"hawgO","garbri",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"unarR","gasacu",2,2,-2,2,-2,-2,-2,-2,2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2 
"maplO","gerarb",2,1,-2,-2,-2,1,1,-2,1,1,-2,1,1,1,-2,2,2,-2,2,-2,2,2,-2,-2,-2,2,2,2,2,-2,2,-2,-2,-2,2,2,-2,2 
"humpR","gilcyp",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,3,3,3,3,3,3,-2,2,-2,-2,-2,-2,3,3,3,-2,2,-2,-2,-2 
"bonyR","gilele",1,-1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,1,-2,-2,-2,-2,-2,-1,1,-2,-2,1,-2,3,2,3,-2,3,-2,-2,1 
"chihO","gilnig",3,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","gilpur",3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,-2,2,-2,2,2,2,2,-2,1,-2,1,-2,-2,-2,-2,-2,2,3,-2,-2,-2 
"whooR","gruame",1,-2,1,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,-2,2,-2,-2,2,-2,-2,-2,2 
