"PLAN","SPECIES","347PP","348PP","349PP","350PP","351PP","352PP","353PP","354PP","355PP","356PP","357PP","358PP","359PP","360PP","361PP","362PP","363PP","364PP","365PP","366PP","367PP","368PP","369PP","370PP"
"flscR","liaohl",-2,1,1,1,1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,1,-2 
"kaupO","lipfau",1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,1,1,-1,1,-2,2,2,2,2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"lotiO","lycarg",2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2 
"roleO","lysasp",-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"apalO","macalb",-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",2,2,3,2,3,2,2,2,2,2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2 
"kaupO","melpal",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"oahpO","melsai",1,1,1,1,1,1,2,2,2,1,-2,-2,-2,-2,-2,1,2,1,1,1,1,1,1,-2 
"armaO","miccal",-2,1,1,1,1,1,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2 
"hualO","micmex",3,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2 
"blacR","musnig",1,1,-2,-2,-2,1,1,1,-2,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"kaufO","myapal",2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",1,1,1,-2,-2,-2,3,3,3,3,2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"indiR","myosod",-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,3,3,1,3,-2 
"oahpO","nothum",2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2 
"neosO","notpla",-2,3,2,2,2,2,2,-2,2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,2,-2,-2 
"ringO","oboret",-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"keydR","odvicl",-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2 
"coluR","odvile",2,2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,-2,-2 
"antiR","oendel",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",1,-2,-2,1,-2,-2,2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,1,-2,3,-2,3,-2,-2 
"grcuR","onccla",3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,1,-2,-2,-2,2,-2,1,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"nashR","orcsho",2,2,2,3,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"flscR","parcha",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"mamoO","parfla",-2,1,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",-2,2,2,-2,2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,3,-2 
"prcrO","pellem",2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"lanaO","phygla",1,1,-2,-2,-2,2,-2,-2,1,-2,-2,1,1,-2,-2,-2,-2,1,1,-2,-2,1,-2,1 
"biadO","phyrac",-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2 
"redcR","picbor",-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"shenO","pleshe",3,2,2,3,3,3,1,-2,-2,-2,2,1,-2,-2,-2,1,-2,2,-2,-2,-2,2,2,-2 
"fishR","poeocc",-2,2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"cavpO","pognud",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"flscR","polbas",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",3,1,1,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",1,1,1,-2,1,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
