"PLAN","SPECIES","405KKK","406KKK","407KKK","408KKK","409KKK","410KKK","411KKK","412KKK","413KKK","414KKK","415KKK","416KKK","417KKK","418KKK","419KKK","420KKK"
"ringO","oboret",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",0,-2,-2,0,-2,-2,0,0,0,0,0,-2,-2,-2,0,-2 
"coluR","odvile",2,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","oendel",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grcuR","onccla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"furbR","pedfur",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prcrO","pellem",0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,5,5,5,-2,5,5,-2,-2,-2,-2,-2,-2,5,-2,5 
"lanaO","phygla",-2,2,2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2 
"biadO","phyrac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","polbas",-2,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,-2 
"fatpR","potcap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",-2,-2,-2,-2,-2,-1,1,1,1,2,-1,-2,-2,-2,-2,-2 
"harpO","ptinod",-2,0,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"coloR","ptyluc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2 
"selkR","rantar",-2,-2,-2,-1,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"kendO","rhiosc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"chapO","rhocha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2 
"pallO","scaalb",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maplO","schhal",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2 
"oahpO","schkaa",2,2,2,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,2,-2 
"oahpO","schkea",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","schspe",3,3,3,3,3,3,-1,-1,-1,3,3,-2,-2,3,3,-2 
"delmR","scinig",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3 
"enruO","soldry",0,-2,-2,2,-2,-2,-1,-1,2,2,2,-1,-2,2,5,3 
"hougO","solhou",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alabR","spepou",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caleO","steant",5,5,-2,-2,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","stecam",3,3,3,3,3,3,-1,-1,-1,3,3,-2,-2,3,3,-2 
"mexiO","strocc",-2,-2,-2,1,-2,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2 
"loweO","sylpal",2,2,2,-2,-2,-2,-1,2,2,-1,-1,-1,-2,-1,2,2 
"lanaO","tetrem",-2,2,2,-2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,2 
"karsO","texred",-1,-2,-2,-1,-2,-2,5,5,-1,0,-1,-2,-1,-1,-1,-2 
"coolO","thacoo",5,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1 
"pedaO","theste",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"soccO","thethe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prfeO","theyau",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"westR","triman",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bariO","tritri",3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"attwR","tymcup",-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2 
"grizR","ursarc",-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,2,-2,-1 
"flscR","warcar",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cachO","xanriv",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","zizcel",0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,-2 
"edwaR","ziztex",0,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,0,-2,0,-2 
