"PLAN","SPECIES","347WW","348WW","349WW","350WW","351WW","352WW","353WW","354WW","355WW","356WW","357WW","358WW","359WW","360WW","361WW","362WW","363WW","364WW","365WW","366WW","367WW","368WW","369WW","370WW"
"kauaO","hibwoo",1,1,-2,1,1,1,1,-2,1,-2,-2,1,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",-2,1,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"flscO","hypcum",1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1 
"smalR","isomed",1,1,1,1,-2,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",1,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,1,-2,-1,-2,1,1,1,1,-2 
"oahpO","labcyr",-2,1,1,1,1,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2 
"pinkO","lamabr",-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,1,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"caroO","lasdec",1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,1,-2,-2 
"praiO","leslep",1,-2,1,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,1,1,1,1,1,-3,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,1,1,-2 
"kaupO","lipfau",1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",1,1,1,1,1,1,1,1,1,0,0,0,-2,-2,1,1,0,-1,-2,1,1,1,1,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"lotiO","lycarg",2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2 
"roleO","lysasp",-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"apalO","macalb",-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-3 
"kaupO","melpal",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"oahpO","melsai",1,1,1,1,1,1,0,0,0,0,-2,-2,-2,-2,-2,1,0,1,1,1,1,1,1,-2 
"armaO","miccal",-2,1,1,1,1,1,-2,-2,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,-2 
"hualO","micmex",1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,-2 
"blacR","musnig",-3,-3,-2,-2,-2,-3,-3,-3,-2,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2 
"kaufO","myapal",1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2 
"indiR","myosod",-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,1,1,1,1,-2 
"oahpO","nothum",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"neosO","notpla",-2,-1,1,1,1,1,1,-2,1,-2,1,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,2,-2,-2 
"ringO","oboret",-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"keydR","odvicl",-2,2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1 
"coluR","odvile",2,2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2 
"antiR","oendel",-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"arizR","oncapa",2,-2,-2,2,-2,-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,2,-2,1,-2,1,-2,-2 
"grcuR","onccla",-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2 
"gilaR","oncgil",-2,-2,1,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"nashR","orcsho",1,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"flscR","parcha",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"mamoO","parfla",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"furbR","pedfur",-2,0,0,-2,0,0,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,1,-2 
"prcrO","pellem",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"lanaO","phygla",0,0,-2,-2,-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,0,1,-2,-2,0,-2,0 
"biadO","phyrac",-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2 
"redcR","picbor",-2,-2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"shenO","pleshe",1,0,0,1,1,1,1,-3,-3,-3,0,1,-3,-2,-2,0,-3,1,-3,-3,-3,1,1,-3 
"fishR","poeocc",-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"cavpO","pognud",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"flscR","polbas",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",2,1,1,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",0,0,-1,-2,-3,0,0,-2,-2,-2,-2,0,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",1,1,0,-2,-2,1,0,0,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2 
"guamO","ptemar",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-2 
"coloR","ptyluc",-3,-3,-3,-3,-2,-3,-3,-3,-3,-2,-3,-2,-2,-2,-2,-2,-3,-3,-2,-3,-2,-3,-2,-2 
"flopR","pumcon",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alamO","pyrneo",1,1,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"tombO","quasta",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
