"PLAN","SPECIES","347OO","348OO","349OO","350OO","351OO","352OO","353OO","354OO","355OO","356OO","357OO","358OO","359OO","360OO","361OO","362OO","363OO","364OO","365OO","366OO","367OO","368OO","369OO","370OO"
"oahpO","nothum",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0 
"capeO","notmek",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0 
"neosO","notpla",0,1,1,1,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0 
"ringO","oboret",0,1,1,1,1,1,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,1,1,0 
"keydR","odvicl",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1 
"coluR","odvile",2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0 
"antiR","oendel",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"arizR","oncapa",2,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0 
"grcuR","onccla",1,1,1,1,1,1,0,0,0,0,0,0,-2,0,0,1,0,0,-2,0,0,0,0,-2 
"gilaR","oncgil",0,0,2,0,0,0,1,0,2,1,0,1,-2,0,0,0,0,0,0,0,0,0,2,0 
"nashR","orcsho",1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 
"flscR","parcha",1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 
"mamoO","parfla",0,1,1,0,0,0,1,1,0,0,0,0,-2,0,0,0,0,0,-2,0,0,0,0,-2 
"bradO","pedbra",0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0 
"furbR","pedfur",0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,3,0 
"prcrO","pellem",1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"anasO","perpol",2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 
"snaiR","pertan",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0 
"lanaO","phygla",1,2,0,0,0,1,0,0,1,0,-2,1,3,-2,0,0,0,2,3,0,0,1,0,1 
"biadO","phyrac",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0 
"redcR","picbor",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"ropiO","pleple",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 
"shenO","pleshe",1,1,1,1,1,1,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,4,4,0 
"fishR","poeocc",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-2,0,0,2,0,-2 
"cavpO","pognud",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0 
"flscR","polbas",2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"fatpR","potcap",3,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"littO","potcly",2,2,1,0,0,2,2,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0 
"flscR","prugen",2,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0 
"guamO","ptemar",3,2,1,1,1,0,2,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0 
"harpO","ptinod",2,3,3,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0 
"coloR","ptyluc",2,3,3,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,5,0,-2 
"flopR","pumcon",1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0 
"alamO","pyrneo",3,3,-2,-2,-2,-2,3,3,3,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2 
"tombO","quasta",2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"saltO","raloob",0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0 
"yumaO","raloyu",1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0 
"selkR","rantar",0,0,4,0,0,0,3,4,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0 
