"PLAN","SPECIES","130G","131G","132G","133G","134G","135G","136G","137G","138G","139G","140G","141G","142G","143G","144G","145G","146G","147G","148G","149G","150G","151G","152G","153G","154G","155G","156G","157G","158G","159G","160G","161G","162G","163G","164G","165G","166G","167UUU"
"apalO","macalb",1,1,-2,-2,-2,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,-2,-2,-2,-2,-2,-2,2,0 
"mohrO","marmoh",1,2,-2,-2,-2,0,0,0,1,0,0,1,0,1,0,2,1,0,2,0,3,3,3,3,0,1,1,1,0,1,-2,-2,-2,-2,0,0,0,0 
"kaupO","melpal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0 
"oahpO","melsai",1,4,-2,-2,-2,4,3,2,3,1,0,1,2,2,3,3,2,0,1,2,1,1,1,1,0,1,2,1,0,0,0,0,0,0,2,2,1,0 
"armaO","miccal",8,4,0,0,0,0,1,0,1,0,0,2,0,3,3,1,0,0,0,0,0,0,2,2,-2,1,1,0,0,-2,0,0,0,-2,0,0,1,-2 
"hualO","micmex",3,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0 
"blacR","musnig",0,7,7,7,0,1,0,0,0,0,0,3,16,0,0,3,3,0,0,0,3,1,2,2,0,0,1,0,1,0,2,3,2,2,11,4,0,0 
"kaufO","myapal",0,1,0,0,-2,0,0,0,0,0,-2,1,0,1,1,0,1,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-2,8,3,-2,-2 
"woodO","mycame",1,0,2,2,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1 
"indiR","myosod",1,4,3,2,0,5,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0 
"oahpO","nothum",0,2,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1 
"capeO","notmek",1,4,0,0,0,1,1,0,1,0,0,0,1,1,-2,2,0,0,2,2,2,2,2,2,0,0,1,0,0,0,0,0,1,0,1,1,0,1 
"neosO","notpla",1,1,0,2,0,0,1,0,0,0,0,2,4,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,3 
"ringO","oboret",1,3,-2,-2,-2,3,1,0,1,0,-2,2,1,1,-2,1,1,-2,1,1,-2,1,1,1,-2,1,0,0,0,-2,1,1,-2,-2,2,2,0,-2 
"keydR","odvicl",0,0,0,0,0,2,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0 
"coluR","odvile",0,5,1,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,1,3,0,4,0,0,0 
"antiR","oendel",1,1,-2,-2,-2,0,0,0,0,0,-2,1,1,1,1,-2,-2,-2,1,1,1,1,1,1,1,0,0,0,0,0,-2,-2,-2,0,0,-2,0,1 
"arizR","oncapa",4,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,0,0,1 
"grcuR","onccla",1,3,3,4,0,0,0,3,2,0,-2,6,0,0,0,0,0,-2,0,0,2,0,0,0,-2,0,0,0,0,-2,0,0,0,-2,2,2,0,-2 
"gilaR","oncgil",1,4,0,0,0,3,0,0,0,0,-2,2,0,1,1,1,0,-2,0,0,0,0,1,0,1,1,0,0,0,-2,0,0,0,-2,0,0,0,-2 
"nashR","orcsho",2,4,0,0,0,1,0,3,1,0,0,1,1,1,-2,1,0,-2,1,0,1,1,1,1,-2,0,1,0,0,0,0,0,0,0,1,0,-2,-2 
"flscR","parcha",0,1,-2,-2,-2,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,0,2,0 
"mamoO","parfla",6,6,3,1,0,0,0,0,2,-2,-2,0,0,0,0,1,0,0,0,0,1,0,0,0,-2,0,0,0,0,-2,1,0,0,-2,0,0,0,-2 
"bradO","pedbra",0,2,-2,-2,-2,0,0,0,2,1,1,2,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2 
"furbR","pedfur",0,1,-2,-2,-2,1,2,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-2,0,0,0,1,0 
"prcrO","pellem",1,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0 
"anasO","perpol",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0 
"snaiR","pertan",1,1,0,0,0,1,0,0,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"lanaO","phygla",1,1,-2,-2,-2,0,0,0,1,0,1,2,2,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-2,-2,-2,-2,2,1,0,1 
"biadO","phyrac",1,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1 
"redcR","picbor",0,0,1,2,-2,0,0,0,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,1 
"ropiO","pleple",2,3,-2,-2,-2,1,0,0,1,0,0,1,1,1,-2,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0 
"shenO","pleshe",3,6,6,6,0,3,3,0,3,1,0,2,2,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,1,0,1,0,3,0 
"fishR","poeocc",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-2,0,0,0,0,0,0,1,0,2,2,0,-2,0,0,0,1,2,0,0,-2 
"cavpO","pognud",0,2,-2,-2,-2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,-2,-2,-2,1,1,1,1 
"flscR","polbas",1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"fatpR","potcap",1,4,0,0,0,0,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0 
"littO","potcly",1,4,-2,-2,-2,0,0,0,2,0,0,2,2,0,0,1,1,0,0,2,2,0,0,0,0,1,1,1,0,0,0,-2,-2,0,1,1,1,0 
