"PLAN","SPECIES","235X","236X","237X","238X","239X","240X","241X","242X","243X","244X","245X","246X","247X","248X","249X","250X","251X","252X","253X","254X","255X","256X","257X","258X","259X","260X","261X","262X","263X","264X","265X","266X","267X","268X","269X","270X","271X","272X","273X","274X","275X","276X","277X","278X","279X","280X","281X","282X","283X","284X","285X","286X","287X","288X","289X","290X","291X","292X","293X"
"threO","eryter",0,2,0,0,1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,0,-2,-2,-2,-2,-2,-2 
"slacO","ethbos",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 
"edwaR","ethfon",0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,5,0,0,-2,7,7,0,0,0,0,1,0,-2,3,3,1,0,1,3,-2,0,0,0,0,0,-2,0,0,5,0,-2,0,0,0,3,-2 
"wateR","ethnuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"okalO","ethoka",1,1,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-2,3,3,0,0,0,1,-2,4,3,0,0,0,-2,0,0,2,0,-2,0,0,1,0,-2 
"bayoR","ethrub",10,0,0,0,0,0,9,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"maryR","ethsel",0,1,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"elseO","eupbat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"edwaR","eurnan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0 
"pereO","falper",0,11,11,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,16,16,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,-2,0,1,0,0,1,-2,0,0,0,0,-2,0,0,0,0,-2 
"ampeO","falper",0,0,7,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,6,3,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1 
"hawwR","fulame",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,7,-2,-2,-2,-2,-2,-2,2,0,-2,-2,-2,-2,-2,-2 
"lanaO","gahlan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0 
"hawwR","galchl",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,12,0,0,0,1,4,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,2 
"edwaR","gamgeo",0,0,0,0,0,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,3,0,0,1,3,0,0,0,5,5,0,0,0,0,3,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0 
"hawgO","garbri",-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,17,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,18,39,0,-2,18,0,-2,-2,-2,-2,-2,-2,-2,-2,16,-2,-2,-2,23,1,0,-2,-2 
"unarR","gasacu",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,2,3,0 
