PLAN CODE,SPECIES CODE,PLAN NAME,SPECIES COMMON NAME,SPECIES SCIENTIFIC NAME,SCHOOL,REVISED?
kaup,lipmic,Kauai Plant Cluster (37 spp.),Nehe,Lipochaeta micrantha var. micrantha,Davis,No
oahp,loboah,Oahu Plants (66 spp.),Lobelia oahuensis (NCN),Lobelia oahuensis,Duke,No
pali,loxbai,Palila,Palila (honeycreeper),Loxioides (=Psittirostra) bailleui,Davis,Yes
flsc,lupari,FL Scrub Plants (19 spp.),"Lupine, scrub",Lupinus aridorum,Duke,Yes
loti,lycarg,Lotis Blue Butterfly,"Butterfly, lotis blue",Lycaeides argyrognomon lotis,ASU,No
role,lysasp,Rough-leaved Loosestrife,"Loosestrife, rough-leaved",Lysimachia asperulaefolia,Washington,No
apal,macalb,Apalachicola Plants (4 spp.),"Birds-in-a-nest, white",Macbridea alba,Utah St.,No
walk,manwal,Walker's Manioc,"Manioc, Walker's",Manihot walkerae,UCSB,No
mohr,marmoh,Mohr's Barbara's Button,"Button, Mohr's Barbara",Marshallia mohrii,Utah St.,No
kaup,melpal,Kauai Plant Cluster (37 spp.),Alani,Melicope pallida,Utah St.,No
oahp,melsai,Oahu Plants (66 spp.),Alani,Melicope saint-johnii,Duke,No
arma,miccal,Armagosa Vole,"Vole, Armagosa",Microtus californicus scirpensis,UCSB,No
hual,micmex,Hualapai Mexican Vole,"Vole, Hualapai Mexican",Microtus mexicanus hualpaiensis,Cornell,No
blac,musnig,Black-footed Ferret,"Ferret, black-footed",Mustela nigripes,Davis,Yes
kauf,myapal,Kauai Forest Birds (6 spp.),"Thrush, small Kauai",Myadestes palmeri (=Phaeornia p.),Texas A&M,No
wood,mycame,Wood Stork (U.S. pop.),"Stork, wood",Mycteria americana,Wisconsin,No
indi,myosod,Indiana Bat,"Bat, Indiana",Myotis sodalis,ASU,Yes
oahp,nothum,Oahu Plants (66 spp.),Kulu`i,Nototrichium humile,Texas A&M,No
cape,notmek,Cape Fear Shiner,"Shiner, Cape Fear",Notropis mekistocholas,Maine,No
neos,notpla,Neosho Madtom,"Madtom, Neosho",Noturus placidus,Cornell,No
ring,oboret,Ring Pink (Mussel),"Pink, ring (mussel)",Obovaria retusa,Davis,No
keyd,odvicl,Key Deer,"Deer, key",Odocoileus virginianus clavium,Wisconsin,Yes
colu,odvile,Columbian White-tailed deer,"Deer, Columbian white-tailed",Odocoileus virginianus leucurus,Washington,Yes
anti,oendel,Antioch Dunes (3 spp.),"Evening-primrose, Antioch Dunes",Oenothera deltoides ssp. howellii,CSU,Yes
ariz,oncapa,Arizona Trout (=Apache),"Trout, Apache (=Arizona)",Onchorynchus apache,Texas A&M,Yes
grcu,onccla,Greenback Cutthroat Trout,"Trout, greenback cutthroat",Oncorhynchus (=Salmo) clarki stomias,Maine,Yes
gila,oncgil,Gila Trout,"Trout, Gila",Oncorhynchus (=Salmo) gilae,Minnesota,Yes
nash,orcsho,Nashville Crayfish,"Crayfish, Nashville",Orconectes shoupi,Maine,Yes
flsc,parcha,FL Scrub Plants (19 spp.),"Whitlow-wort, papery",Paronychia chartacea,Duke,Yes
mamo,parfla,Maui-Molokai Forest Birds (7 spp.),"Creeper, Molokai (=kakawahie)",Paroreomyza flammea,Tennessee,No
brad,pedbra,Brady Pincushion Cactus,"Cactus, Brady pincushion",Pediocactus bradyi,ASU,No
furb,pedfur,Furbish Lousewort,"Lousewort, furbish",Pedicularis furbishiae,Davis,Yes
sile,pedsil,Siler Pincushion Cactus,"Cactus, Siler pincushion",Pediocactus sileri,Davis,No
prcr,pellem,Puerto Rican Crested Toad,"Toad, Puerto Rican crested",Peltophryne lemur,Davis,No
anas,perpol,Anastasia Island/Southeast Beach Mice (2 spp.),"Mouse, Anastasia Island beach",Peromyscus polionotus phasma,Minnesota,No
snai,pertan,Snail Darter,"Darter, snail",Percina tanasi,Idaho,Yes
lana,phygla,Lanai Plant Cluster (9 spp.),Phyllostegia glabra var. lanaiensis (NCN),Phyllostegia glabra var. lanaiensis,Cornell,No
biad,phyrac,Big Island Addendum (13 spp.),Kiponapona,Phyllostegia racemosa,Montana,No
redc,picbor,Red-cockaded Woodpecker,"Woodpecker, red-cockaded",Picoides borealis,Cornell,Yes
ropi,pleple,Rough Pigtoe Pearly Mussel,"Pigtoe, rough",Pleurobema plenum,Notre Dame,No
shen,pleshe,Shenandoah Salamander,"Salamander, Shenandoah",Plethodon shenandoah,Berkeley,No
fish,poeocc,Fishes of the Rio Yaqui (4 spp.),"Topminnow, Yaqui",Poeciliopsis occidentalis sonorensis,ASU,Yes
cavp,pognud,California Vernal Pools (7 spp.),Otay mesa mint,Pogogyne nudiuscula,Texas A&M,No
flsc,polbas,FL Scrub Plants (19 spp.),Wireweed,Polygonella basiramia,Texas A&M,Yes
fatp,potcap,Fat Pocketbook Pearly Mussel,"Pocketbook, fat",Potamilus (=Proptera) capax,Tennessee,Yes
litt,potcly,Little Aguja Pondweed,"Pondweed, Little Aguja Creek",Potamogeton clystocarpus,UCSB,No
flsc,prugen,FL Scrub Plants (19 spp.),"Plum, scrub",Prunus geniculata,Texas A&M,Yes
guam,ptemar,Guam Fruit Bats (2 spp.),"Bat, Mariana fruit",Pteropus mariannus mariannus,Idaho,No
harp,ptinod,Harperella,Harperella,Ptilimnium nodosum (=P. fluviatile),Utah St.,No
colo,ptyluc,Colorado Squawfish,"Squawfish, Colorado",Ptychocheilus lucius,Idaho,Yes
flop,pumcon,Florida Panther,"Panther, Florida",Puma concolor coryi,Idaho,Yes
alam,pyrneo,Alamosa and Socorro Springsnails (2 spp.),"Springsnail, Socorro",Pyrgulopsis neomexicana,Davis,No
tomb,quasta,Tombigbee Mussels (5 spp.),Stirrupshell,Quadrula stapes,Minnesota,No
salt,raloob,Saltmarsh Harvest Mouse/CA. Clapper Rail (2 spp.),"Rail, California clapper",Rallus longirostris obsoletus,Berkeley,No
yuma,raloyu,Yuma Clapper Rail,"Rail, Yuma clapper",Rallus longirostris yumanensis,Davis,No
selk,rantar,Selkirk Mountains Caribou,"Caribou, woodland",Rangifer tarandus caribou,ASU,Yes
kaup,remkau,Kauai Plant Cluster (37 spp.),Remya kauaiensis (NCN),Remya kauaiensis,Notre Dame,No
kars,rhaper,Karst Invertebrates (7 spp.),"Beetle, Tooth Cave ground",Rhadine persephone,Berkeley,No
kend,rhiosc,Kendall Warm Spring Dace,"Dace, Kendall Warm Springs",Rhinichthys osculus thermalis,Minnesota,No
chap,rhocha,Chapman's Rhododendron,"Rhododendron, Chapman's",Rhododendron chapmanii,Davis,No
ever,rossoc,Everglade Snail Kite,"Kite, Everglade snail",Rostrhamus sociabilis plumbeus,Notre Dame,Yes
grpi,sarore,Green Pitcher-plant,"Pitcher-plant, green",Sarracenia oreophila,Davis,Yes
pall,scaalb,Pallid Sturgeon,"Sturgeon, pallid",Scaphirhynchus albus,Cornell,No
mapl,schhal,Maui Plant Cluster (21 spp.),Schiedea haleakalensis (NCN),Schiedea haleakalensis,CSU,No
oahp,schkaa,Oahu Plants (66 spp.),Schiedea kaalae (NCN),Schiedea kaalae,Nevada,No
oahp,schkea,Oahu Plants (66 spp.),Schiedea kealiae (NCN),Schiedea kealiae,Maine,No
kaup,schspe,Kauai Plant Cluster (37 spp.),Schiedea spergulina var. spergulina (NCN),Schiedea spergulina var. spergulina,CSU,No
delm,scinig,Delmarva Peninsula Fox Squirrel,"Squirrel, Delmarva Peninsula fox",Sciurus niger cinereus,Maine,Yes
enru,soldry,Enrubia (=Solanum drymophilum),Erubia,Solanum drymophilum,Wisconsin,No
houg,solhou,Houghton's Goldenrod,"Goldenrod, Houghton's",Solidago houghtonii,Berkeley,No
alab,spepou,Alabama Cavefish,"Cavefish, Alabama",Speoplatyrhinus poulsoni,CSU,Yes
cale,steant,California Least Tern,"Tern, California least",Sterna antillarum browni,Utah St.,No
kaup,stecam,Kauai Plant Cluster (37 spp.),Stenogyne campanulata (NCN),Stenogyne campanulata,CSU,No
mexi,strocc,Mexican Spotted Owl,"Owl, Mexican spotted",Strix occidentalis lucida,UCSB,No
lowe,sylpal,Lower Keys Marsh Rabbit,"Rabbit, Lower Keys marsh",Sylvilagus palustris hefneri,CSU,No
lana,tetrem,Lanai Plant Cluster (9 spp.),Tetramolopium remyi (NCN),Tetramolopium remyi,Cornell,No
kars,texred,Karst Invertebrates (7 spp.),"Harvestman, Bee Creek Cave",Texella reddelli,CSU,No
cool,thacoo,Cooley's Meadowrue,"Meadowrue, Cooley's",Thalictrum cooleyi,Minnesota,No
peda,theste,Pedate Checkermallow/Slender-petaled Mustard,"Mustard, slender-petaled",Thelypodium stenopetalum,Nevada,No
socc,thethe,Soccoro Isopod,"Isopod, Socorro",Thermosphaeroma (=Exosphaeroma) thermophilus,Washington,No
prfe,theyau,Puerto Rican Ferns (7spp),Thelypteris yaucoensis (NCN),Thelypteris yaucoensis,Idaho,No
west,triman,West Indian Manatee (FL pop.),"Manatee, West Indian (=Florida)",Trichechus manatus,Montana,Yes
bari,tritri,Bariaco,Bariaco (=guayabacon),Trichilia triacantha,Texas A&M,No
attw,tymcup,Attwater's Greater Prairie Chicken,"Prairie-chicken, Attwater's greater",Tympanuchus cupido attwateri,Texas A&M,Yes
griz,ursarc,Grizzly Bear,"Bear, grizzly",Ursus arctos (=U.a. horribilis),Berkeley,Yes
flsc,warcar,FL Scrub Plants (19 spp.),"Mustard, Carter's",Warea carteri,Maine,Yes
cach,xanriv,California Channel Islands (7 spp.),"Lizard, Island night",Xantusia (=Klauberina) riversiana,Utah St.,No
flsc,zizcel,FL Scrub Plants (19 spp.),"Ziziphus, Florida",Ziziphus celata,Maine,Yes
edwa,ziztex,5 Edwards Aquifer Species (5 spp.),"Wild-rice, Texas",Zizania texana,Texas A&M,Yes
