"PLAN","SPECIES","173Q","174Q","175Q","176Q","177Q","178Q","179Q","180Q","181Q","182Q","183Q","184Q","185Q","186Q","187Q","188Q","189Q","190Q","191Q","192Q","193Q","194Q","195Q","196Q","197Q","198Q","199Q","200Q","201Q","202Q","203Q","204Q","205Q","206Q","207Q","208Q","209Q","210Q","211Q","212Q","213Q","214Q","215Q","216Q","217Q","218Q","219Q","220Q","221Q","222Q","223Q","224Q","225Q","226Q","227Q","228Q","229Q","230Q","231Q"
"fishR","cypfor",-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,1,-2,4,-2,-2,-2,-2,4,-2,4,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,4,-1,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2 
"kauaO","cyrcya",-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,3,-2,-2,4,-2 
"biplO","cyrgif",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2 
"oahpO","cyrvir",-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,3,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2 
"kirtR","denkir",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",-2,4,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2 
"tennR","echten",-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,4 
"tarrR","ellste",-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,4,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,-2 
"cavpO","eryari",3,4,-2,4,3,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,4,4,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,3,-2 
"antiR","erycap",1,-2,-2,4,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2 
"flscR","erycun",4,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2 
"seveO","erymen",4,4,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,1,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"threO","eryter",-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-1,4,-2,-2,-2,-1,-1,-2 
"slacO","ethbos",2,2,2,2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,3,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","ethfon",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,2,-2,2,4,-2,-2,2,4,4,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,3,-2 
"wateR","ethnuc",2,2,-2,-2,3,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,-2,3,-2 
"okalO","ethoka",-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,3,-2,-2 
"bayoR","ethrub",4,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,4,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",4,4,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4 
"edwaR","eurnan",-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,4,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2 
"pereO","falper",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ampeO","falper",-2,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"hawwR","fulame",4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,4,4,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,4,4,-2,-2,-2,-2,-2,-2 
"lanaO","gahlan",3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",2,2,-2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-2,4,4,-2,-2,-2,4,-2,2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,2,-2,-2 
"hawgO","garbri",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,4,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,4,4,4,-2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,4,-2,-2,-2,3,3,4,-2,-2 
