"PLAN","SPECIES","89E","90E","91E","92E","93E","94E","95E","96E","97E","98E","99E","100E","101E","102E","103E","104E","105E","106E","107E","108E","109E","110E","111E","112E","113E","114E","115E","116E","117E","118E","119E","120E","121E","122E","123E","124E","125E","126E"
"kirtR","denkir",5,5,-2,5,0,-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",2,2,-2,-2,-2,3,3,5,3,0,0,2,-2,2,-2,-2,-2,2,2,1,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,1,-2,1,1,0,3,1 
"tennR","echten",5,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,0,3,3,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"tarrR","ellste",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","eryari",0,-2,-2,-2,-2,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",5,0,-2,-2,-2,0,1,-2,5,0,-2,3,-2,3,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",3,1,-2,-2,-2,3,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"seveO","erymen",-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,0,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,5,5,5,-2 
"threO","eryter",2,-1,-2,-2,-2,2,-1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1 
"slacO","ethbos",0,0,-2,-2,-2,-2,3,-2,3,-2,-2,0,3,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,0,-2,-2,3,3,-2,-2 
"edwaR","ethfon",0,0,0,-2,-2,0,0,0,1,-2,-2,2,2,3,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,0,0,0,0,-2,-2,1,0,-2,1,1,0,-2 
"wateR","ethnuc",3,3,3,3,-2,3,3,0,0,0,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2 
"okalO","ethoka",0,0,-2,-2,-2,0,0,0,0,0,-2,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2 
"bayoR","ethrub",0,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",2,5,5,3,-2,-2,-2,3,5,-2,-2,5,5,-2,-2,-2,-2,-2,1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,0,-2,2,2,-2,-2 
"edwaR","eurnan",3,3,3,3,-2,3,3,3,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,-2,-2 
"pereO","falper",1,4,-2,4,4,4,4,4,-2,-2,-2,4,2,4,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,4,4,-2,-2 
"ampeO","falper",2,-2,2,5,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,0,-2,-2,-2 
"hawwR","fulame",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
