"PLAN","SPECIES","347UU","348UU","349UU","350UU","351UU","352UU","353UU","354UU","355UU","356UU","357UU","358UU","359UU","360UU","361UU","362UU","363UU","364UU","365UU","366UU","367UU","368UU","369UU","370UU"
"biadO","phyrac",-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2 
"redcR","picbor",-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"shenO","pleshe",2,3,3,2,2,2,2,-2,-2,-2,3,2,-2,-2,-2,2,-2,2,-2,-2,-2,3,3,-2 
"fishR","poeocc",-2,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"cavpO","pognud",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"flscR","polbas",3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fatpR","potcap",-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"littO","potcly",3,3,3,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",0,0,0,-2,-2,0,0,0,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2 
"guamO","ptemar",0,0,0,0,0,-2,1,0,-2,0,0,-2,-2,-2,0,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"harpO","ptinod",2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2 
"coloR","ptyluc",2,2,2,2,-2,2,1,1,1,-2,1,-2,-2,-2,-2,-2,1,1,-2,1,-2,1,-2,-2 
"flopR","pumcon",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"alamO","pyrneo",3,3,-2,-2,-2,-2,3,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2 
"tombO","quasta",0,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"saltO","raloob",-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"yumaO","raloyu",1,1,1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2 
"selkR","rantar",-2,-2,1,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,1,1,1,-2 
"kendO","rhiosc",-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2 
"chapO","rhocha",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"everR","rossoc",-2,2,-2,-2,-2,-2,2,-2,-2,1,2,-2,-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"grpiR","sarore",-1,-1,1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-1,-1,-2 
"pallO","scaalb",0,0,0,0,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"maplO","schhal",-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2 
"oahpO","schkaa",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,1,-2,-2,1,-2,-2 
"oahpO","schkea",-2,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,0,-2,0,0,-2,-2,0,0,-2 
"kaupO","schspe",1,1,1,1,1,1,1,1,1,1,-2,1,0,-2,1,1,1,1,1,1,1,1,1,0 
"delmR","scinig",3,2,2,-2,-2,-2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2 
"enruO","soldry",-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hougO","solhou",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1 
"alabR","spepou",-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1 
"caleO","steant",-2,-1,-1,-1,-1,-2,-1,-1,-1,-2,1,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-1 
"kaupO","stecam",1,1,1,1,1,1,1,1,1,1,-2,1,0,-2,1,1,1,1,1,1,1,1,1,0 
